episode_index,frame_count,from_index,to_index_exclusive,start_timestamp_s,end_timestamp_s,split,task,success,failure_reason,object_initial_pose,scene_config,scene_sha256,random_seed,collection_batch,dataset_version,schema_name,source_time_recorded,receive_time_recorded,observation_time_recorded,action_execution_time_recorded,annotation_status
10,587,4347,4934,0.0,19.53333282470703,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
11,540,4934,5474,0.0,17.96666717529297,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
12,506,5474,5980,0.0,16.83333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
13,344,5980,6324,0.0,11.433333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
14,414,6324,6738,0.0,13.766666412353516,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
15,591,6738,7329,0.0,19.66666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
16,292,7329,7621,0.0,9.699999809265137,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
17,289,7621,7910,0.0,9.600000381469727,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
18,221,7910,8131,0.0,7.333333492279053,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
19,228,8131,8359,0.0,7.566666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
20,298,8359,8657,0.0,9.899999618530273,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
21,224,8657,8881,0.0,7.433333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
22,206,8881,9087,0.0,6.833333492279053,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
23,218,9087,9305,0.0,7.233333110809326,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
24,333,9305,9638,0.0,11.066666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
25,376,9638,10014,0.0,12.5,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
26,390,10014,10404,0.0,12.966666221618652,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
27,273,10404,10677,0.0,9.066666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
28,375,10677,11052,0.0,12.466666221618652,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
29,152,11052,11204,0.0,5.0333333015441895,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
30,240,11204,11444,0.0,7.9666666984558105,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
31,219,11444,11663,0.0,7.266666889190674,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
32,223,11663,11886,0.0,7.400000095367432,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
33,220,11886,12106,0.0,7.300000190734863,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
34,186,12106,12292,0.0,6.166666507720947,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
35,479,12292,12771,0.0,15.933333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
36,232,12771,13003,0.0,7.699999809265137,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
37,297,13003,13300,0.0,9.866666793823242,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
38,238,13300,13538,0.0,7.900000095367432,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
39,198,13538,13736,0.0,6.566666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
40,347,13736,14083,0.0,11.533333778381348,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
41,311,14083,14394,0.0,10.333333015441895,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
42,291,14394,14685,0.0,9.666666984558105,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
43,564,14685,15249,0.0,18.766666412353516,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
44,177,15249,15426,0.0,5.866666793823242,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
45,335,15426,15761,0.0,11.133333206176758,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
46,282,15761,16043,0.0,9.366666793823242,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
47,320,16043,16363,0.0,10.633333206176758,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
48,241,16363,16604,0.0,8.0,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
49,321,16604,16925,0.0,10.666666984558105,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
50,394,16925,17319,0.0,13.100000381469727,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
51,242,17319,17561,0.0,8.033333778381348,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
52,240,17561,17801,0.0,7.9666666984558105,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
53,184,17801,17985,0.0,6.099999904632568,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
54,239,17985,18224,0.0,7.933333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
55,381,18224,18605,0.0,12.666666984558105,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
56,280,18605,18885,0.0,9.300000190734863,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
57,431,18885,19316,0.0,14.333333015441895,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
58,207,19316,19523,0.0,6.866666793823242,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
59,640,19523,20163,0.0,21.299999237060547,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
60,399,20163,20562,0.0,13.266666412353516,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
61,408,20562,20970,0.0,13.566666603088379,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
